Table 1
Person/Distance,Time
100 Meters,15.77PR
"110m Hurdles - 39""",33.99PR

Table 2
Person/Distance,Time
100 Meters,12.52PR

Table 3
Person/Distance,Time
"110m Hurdles - 39""",22.28PR

Table 4
Person/Distance,Time
100 Meters,13.79PR
200 Meters,28.71PR
"300m Hurdles - 36""",59.61PR

Table 5
Person/Distance,Time
100 Meters,13.56PR
200 Meters,28.34PR

Table 6
Person/Distance,Time
100 Meters,14.74PR
"300m Hurdles - 36""",1:03.09PR

Table 7
Person/Distance,Time
800 Meters,2:49.78
1600 Meters,6:02.87

Table 8
Person/Distance,Time
800 Meters,2:43.89

Table 9
Person/Distance,Time
"110m Hurdles - 39""",18.41 (-.1)
"300m Hurdles - 36""",50.03

Table 10
Person/Distance,Time
400 Meters,1:15.75PR
1600 Meters,6:14.63PR

Table 11
Person/Distance,Time
800 Meters,2:09.03PR
1600 Meters,4:50.30

Table 12
Person/Distance,Time
"110m Hurdles - 39""",19.94PR
"300m Hurdles - 36""",48.11PR

Table 13
Person/Distance,Time

Table 14
Person/Distance,Time
100 Meters,12.85PR
200 Meters,26.85PR

Table 15
Person/Distance,Time
"110m Hurdles - 39""",21.09PR
"300m Hurdles - 36""",51.80PR

Table 16
Person/Distance,Time
100 Meters,14.65PR
200 Meters,27.24PR

Table 17
Person/Distance,Time
400 Meters,1:03.28PR
1600 Meters,5:33.81PR

Table 18
Person/Distance,Time
100 Meters,13.00PR
200 Meters,26.90PR
400 Meters,59.44PR

Table 19
Person/Distance,Time
100 Meters,12.92
200 Meters,26.80PR

Table 20
Person/Distance,Time
"110m Hurdles - 39""",21.88PR
"300m Hurdles - 36""",52.92PR

Table 21
Person/Distance,Time
100 Meters,12.27
200 Meters,25.09PR

Table 22
Person/Distance,Time
100 Meters,13.12PR
200 Meters,27.50PR

Table 23
Person/Distance,Time
100 Meters,13.03
200 Meters,26.75

Table 24
Person/Distance,Time
800 Meters,2:49.24PR
1600 Meters,6:13.10PR

Table 25
Person/Distance,Time
200 Meters,26.47
400 Meters,55.43

Table 26
Person/Distance,Time
100 Meters,13.72PR
200 Meters,28.65PR

Table 27
Person/Distance,Time
400 Meters,1:05.13PR
800 Meters,2:32.02PR
1600 Meters,5:41.22PR

Table 28
Person/Distance,Time
100 Meters,12.18PR
200 Meters,24.89PR

Table 29
Person/Distance,Time
400 Meters,55.79PR
1600 Meters,5:01.53PR

Table 30
Person/Distance,Time
"110m Hurdles - 39""",21.68PR
"300m Hurdles - 36""",53.45PR

Table 31
Person/Distance,Time
100 Meters,13.13PR
"110m Hurdles - 39""",19.92PR

Table 32
Person/Distance,Time
100 Meters,12.51PR
"110m Hurdles - 39""",20.82PR

Table 33
Person/Distance,Time
800 Meters,2:26.00PR
1600 Meters,5:28.99PR

Table 34
Person/Distance,Time

Table 35
